date,debit_inn,credit_inn,amount,purpose,node_score_debit,node_score_credit,txn_node_risk,txn_risk_score,txn_risk_score_blend_graph
2021-02-05,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №42 (4999.97 rur ) от 05/02/21 без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.1390244192120052,0.11623219320800895
2021-02-05,d877722ca4e40f98,8d9e0be733f77f1c,50.0,"комиссия за перечисление средств со сч. юл на сч.фл (в т.ч. при закрытии счета), (оборот до 150 тыс. руб) по дог. рко №acc_ded93f97f389 от '02/12/2014'. за документы: документ(ы):; от 05/02/21 №№: 41 (6666",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.10410736376403065,0.08829854884962932
2021-02-05,d877722ca4e40f98,ca3891c167141f4d,531.02,взносы на обязательное страхование от несчастных случаев. регистрационный номер в фсс inn_f24b52802750,0.025063289192023976,0.013974308967590332,0.025063289192023976,0.10513690000037215,0.08912217783870252
2021-02-05,d877722ca4e40f98,80799e1a6646b6dc,2112.87,взносы на обязательное социальное страхование,0.025063289192023976,0.004074901342391968,0.025063289192023976,0.05002138509296529,0.04502976591277703
2021-02-05,d877722ca4e40f98,035fab081fc0922f,3333.31,заработная плата за вторую половину января 21 г для зачисления на счет ермошкина михаила юрьевича сумма 3333-31 без налога (ндс),0.025063289192023976,0.017216861248016357,0.025063289192023976,0.1742020698379398,0.14437431370875664
2021-02-05,d877722ca4e40f98,80799e1a6646b6dc,4498.04,страховые взносы на обязательное медицинское страхование,0.025063289192023976,0.004074901342391968,0.025063289192023976,0.08463988990823487,0.0727245697649927
2021-02-05,d877722ca4e40f98,917804652432403b,4999.97,оплата по исполнительный листу № № 2-7123/16 от date_178e735fd502 ермошкин м.ю. взыскателю ким натальи аркадьевны. за январь 2021г,0.025063289192023976,0.0376734733581543,0.0376734733581543,0.1805554843117086,0.15197908212099775
2021-02-05,d877722ca4e40f98,6290b8d67943ece5,6666.62,заработная плата за вторую половину января 21г для зачисления на счет таранова константина анатольевича сумма 6666-62 без налога (ндс),0.025063289192023976,0.017214596271514893,0.025063289192023976,0.12270719618004589,0.10317841478244151
2021-02-05,d877722ca4e40f98,80799e1a6646b6dc,11504.0,налог на доходы физических лиц за январь 2021 года,0.025063289192023976,0.004074901342391968,0.025063289192023976,0.09795954819988537,0.0833802963983131
2021-02-05,d877722ca4e40f98,80799e1a6646b6dc,17593.3,страховые взносы на выплату страховой части трудовой пенсии,0.025063289192023976,0.004074901342391968,0.025063289192023976,0.19284347421257966,0.15928743720846852
2021-02-05,d877722ca4e40f98,8d9e0be733f77f1c,29999.95,заработная плата по реестру №2 от date_5dc1355cd39b в соответствии с договором 50356798 от date_eb8c294d74c6,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.08410903387792452,0.07229988494074442
2021-02-05,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.146841106203812,0.12248554280145439
2021-02-05,d877722ca4e40f98,6931e23e98703aa9,200000.0,оплата по счету № 8 от date_b42a3a2ef047 фасад наружные стены согласно договора подряда №3-тор от 19.05.17г сумма 200000-00 в т.ч. ндс (20%) 33333-33,0.025063289192023976,0.0038481056690216064,0.025063289192023976,0.16586887170939116,0.13770775520591771
2021-02-05,7ad54077510c09e4,d877722ca4e40f98,100000.0,оплата по договору займа № 2-сф/26012021г от 26.01.2021г сумма 100000-00 без налога (ндс),0.019044160842895508,0.025063289192023976,0.025063289192023976,0.2589466049164469,0.21216994177156231
2021-02-05,5ae9eeb0d29bc5c0,d877722ca4e40f98,200000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 200000-00 без налога (ндс),0.013772010803222656,0.025063289192023976,0.025063289192023976,0.24256350811372823,0.1990634643293874
2021-02-08,d877722ca4e40f98,8d9e0be733f77f1c,8.0,комиссия внутри сбербанка за пп/пт через дбо согласно договору рко № acc_ded93f97f389 от '02/12/2014'. №45 (200000 rur ) от 08/02/21. без ндс,0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.0396435376085927,0.036727487925278954
2021-02-08,d877722ca4e40f98,8d9e0be733f77f1c,37.0,"комиссия в другие банки (кредитные организации, банк россии) за пп/пт через дбо согласно договору рко №acc_ded93f97f389 от '02/12/2014'. документы: №44 (16900 rur ) от 08/02/21 без ндс",0.025063289192023976,0.0038172006607055664,0.025063289192023976,0.3258933014279812,0.2657272989807898
