id,date,debit_inn,credit_inn,amount,risk_score,rule_score,iso_score
,2022-05-11,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.8626550736001232,1.0,0.5820995168707367
,2021-06-21,d877722ca4e40f98,0c22384d93788af3,61065.01,0.8626221014627632,1.0,0.5820268896288748
,2020-08-06,d877722ca4e40f98,85ee5df9d37a27a6,100000.0,0.862550503879351,1.0,0.5818691826852688
,2020-10-09,d877722ca4e40f98,40149916b115417d,1224.66,0.8622672525702086,1.0,0.5812452691939414
,2020-09-23,d877722ca4e40f98,cf603eadad6f36c6,5445.28,0.8620349871578983,1.0,0.5807336615874386
,2019-12-25,d877722ca4e40f98,a4bb2adbd377d7b6,16527.0,0.8619192575739895,1.0,0.5804787457356283
,2021-06-08,d877722ca4e40f98,40149916b115417d,9909.59,0.8617731084257864,1.0,0.5801568251570932
,2021-05-11,d877722ca4e40f98,a982dff7a672f998,1000.0,0.8616893651197716,1.0,0.5799723650090034
,2021-11-30,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.8608355180855766,1.0,0.5780916087089637
,2020-12-16,d877722ca4e40f98,582da928bb55efa7,4045.0,0.8608273749056322,1.0,0.5780736718463063
,2020-01-10,d877722ca4e40f98,a982dff7a672f998,2000.0,0.8606049479925212,1.0,0.5775837353572416
,2020-12-25,d877722ca4e40f98,14f253ce33aac781,7000.0,0.8601272997689671,1.0,0.5765316266425943
,2020-06-19,d877722ca4e40f98,225acb9ed4f34af6,9523.67,0.8600090476518879,1.0,0.5762711544440823
,2021-03-18,d877722ca4e40f98,e836147459925aef,30800.0,0.8598099327674755,1.0,0.5758325670176548
,2021-06-16,d877722ca4e40f98,032f0b4d2498f263,2000000.0,0.8590464757004694,1.0,0.5741509113684843
,2019-12-11,d877722ca4e40f98,683c3112f4fb5700,17100.0,0.8587743188444441,1.0,0.5735514354658111
,2020-01-09,d877722ca4e40f98,ca3891c167141f4d,82.76,0.8585194702338806,1.0,0.5729900841807704
,2021-08-25,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8584220482370092,1.0,0.5727754941815776
,2021-06-10,d877722ca4e40f98,1dee298b3b4c3881,33000.0,0.8581408962994111,1.0,0.5721562049450643
,2021-05-24,d877722ca4e40f98,ac31ae518119510a,3000.0,0.8580152009682914,1.0,0.571879337688493
,2022-01-21,d877722ca4e40f98,ac31ae518119510a,3000.0,0.8580152009682914,1.0,0.571879337688493
,2021-10-27,d877722ca4e40f98,a982dff7a672f998,1000.0,0.8576502363851116,1.0,0.5710754355706459
,2021-06-15,d877722ca4e40f98,032f0b4d2498f263,1500000.0,0.8573723430914603,1.0,0.5704633241012111
,2019-12-11,d877722ca4e40f98,9d8f54ae3b88911b,20000000.0,0.8572600553925386,1.0,0.5702159896388233
,2020-05-12,d877722ca4e40f98,41face6c4b94dd88,264000.0,0.8572265674852151,1.0,0.5701422263180511
,2021-07-12,d877722ca4e40f98,a982dff7a672f998,2000.0,0.8571105762909876,1.0,0.569886734221041
,2019-08-05,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.857088858155995,1.0,0.5698388960046196
,2020-11-05,d877722ca4e40f98,ed18d013d231f2d0,1500.0,0.8570296819794205,1.0,0.5697085495111057
,2019-07-02,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.8568140672513294,1.0,0.5692336181217599
,2020-10-21,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.8565119711317531,1.0,0.5685681954437432
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8564557406013301,1.0,0.5684443372816694
,2020-10-23,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.8564049393764985,1.0,0.5683324381711432
,2021-05-12,d877722ca4e40f98,032f0b4d2498f263,1000000.0,0.8561131990957833,1.0,0.567689826147026
,2022-05-26,d877722ca4e40f98,a982dff7a672f998,1500.0,0.8559866752112069,1.0,0.5674111338479457
,2019-12-25,d877722ca4e40f98,0ce0b6eeec2d8629,38500.0,0.8554331786783759,1.0,0.5661919551783685
,2021-08-25,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8553211886093762,1.0,0.5659452763010313
,2021-08-25,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8553211886093762,1.0,0.5659452763010313
,2021-08-25,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8553211886093762,1.0,0.5659452763010313
,2021-08-25,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8553211886093762,1.0,0.5659452763010313
,2020-12-28,d877722ca4e40f98,032f0b4d2498f263,35519.0,0.8552633574541404,1.0,0.5658178924662316
,2020-03-20,d877722ca4e40f98,225acb9ed4f34af6,4761.34,0.8552078382634052,1.0,0.5656956011616224
